sighting_id,registration,timestamp,location,camera_id,direction,record_nonce
ANPR00051-000,MH02WX6789,2025-02-05T06:00:00+00:00,"B-44, Andheri West, Mumbai",CAM-001,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-001,MH02YZ0123,2025-02-05T08:00:00+00:00,"Flat 301, Bandra Kurla Complex",CAM-002,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-002,MH02AA4567,2025-02-05T10:00:00+00:00,"Warehouse No. 7, Wadala Truck Terminal",CAM-003,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-003,MH02BB8901,2025-02-05T12:00:00+00:00,"Royal Palms, Goregaon East",CAM-004,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-004,MH02CC2345,2025-02-05T14:00:00+00:00,"C-15, Dadar West",CAM-005,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-005,MH02DD6789,2025-02-05T16:00:00+00:00,"Shop No. 22, Crawford Market",CAM-006,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-006,MH02EE0123,2025-02-05T18:00:00+00:00,"Hotel Sea View, Juhu Tara Road",CAM-007,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-007,MH02FF4567,2025-02-05T20:00:00+00:00,"Parking Lot B, Chhatrapati Shivaji Terminus",CAM-008,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-008,MH02GG8901,2025-02-05T22:00:00+00:00,"A/5, MIDC Andheri",CAM-009,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-009,MH02HH2345,2025-02-06T00:00:00+00:00,"B-102, Powai Lake View Apartments",CAM-000,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-010,MH02II6789,2025-02-06T02:00:00+00:00,"Linking Road, Bandra West",CAM-001,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-011,MH02JJ0123,2025-02-06T04:00:00+00:00,"Metro Junction Mall, Kalyan",CAM-002,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-012,MH02KK4567,2025-02-06T06:00:00+00:00,"A-7, Saki Naka, Andheri East",CAM-003,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-013,MH02LL8901,2025-02-06T08:00:00+00:00,"21, Marine Drive",CAM-004,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-014,MH02MM2345,2025-02-06T10:00:00+00:00,"Godown No. 3, Taloja MIDC",CAM-005,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-015,MH02NN6789,2025-02-06T12:00:00+00:00,Charni Road Garden,CAM-006,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-016,MH02OO0123,2025-02-06T14:00:00+00:00,"Malad Mindspace, Building 4",CAM-007,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-017,MH02PP4567,2025-02-06T16:00:00+00:00,"LBS Marg, Kurla West",CAM-008,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-018,MH02QQ8901,2025-02-06T18:00:00+00:00,"Express Highway Toll Plaza, Vashi",CAM-009,OUTBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv
ANPR00051-019,MH02RR2345,2025-02-06T20:00:00+00:00,"R City Mall, Ghatkopar West",CAM-000,INBOUND,E-0051|CR-2005|evidence/CR-2005/CR-2005_ANPR_04.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
