sighting_id,registration,timestamp,location,camera_id,direction,record_nonce
ANPR00007-000,MH02OP0123,2025-01-08T14:00:00+00:00,"Hotel Sea View, Juhu Tara Road",CAM-007,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-001,MH02QR4567,2025-01-08T16:00:00+00:00,"Parking Lot B, Chhatrapati Shivaji Terminus",CAM-008,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-002,MH02ST8901,2025-01-08T18:00:00+00:00,"A/5, MIDC Andheri",CAM-009,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-003,MH02UV2345,2025-01-08T20:00:00+00:00,"B-102, Powai Lake View Apartments",CAM-000,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-004,MH02WX6789,2025-01-08T22:00:00+00:00,"Linking Road, Bandra West",CAM-001,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-005,MH02YZ0123,2025-01-09T00:00:00+00:00,"Metro Junction Mall, Kalyan",CAM-002,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-006,MH02AA4567,2025-01-09T02:00:00+00:00,"A-7, Saki Naka, Andheri East",CAM-003,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-007,MH02BB8901,2025-01-09T04:00:00+00:00,"21, Marine Drive",CAM-004,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-008,MH02CC2345,2025-01-09T06:00:00+00:00,"Godown No. 3, Taloja MIDC",CAM-005,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-009,MH02DD6789,2025-01-09T08:00:00+00:00,Charni Road Garden,CAM-006,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-010,MH02EE0123,2025-01-09T10:00:00+00:00,"Malad Mindspace, Building 4",CAM-007,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-011,MH02FF4567,2025-01-09T12:00:00+00:00,"LBS Marg, Kurla West",CAM-008,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-012,MH02GG8901,2025-01-09T14:00:00+00:00,"Express Highway Toll Plaza, Vashi",CAM-009,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-013,MH02HH2345,2025-01-09T16:00:00+00:00,"R City Mall, Ghatkopar West",CAM-000,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-014,MH02II6789,2025-01-09T18:00:00+00:00,Bandra-Worli Sea Link Toll,CAM-001,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-015,MH02JJ0123,2025-01-09T20:00:00+00:00,"Hotel Sahara Star, Vile Parle",CAM-002,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-016,MH02KK4567,2025-01-09T22:00:00+00:00,"Dharavi Redevelopment Site, Sector 4",CAM-003,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-017,MH02LL8901,2025-01-10T00:00:00+00:00,Chhatrapati Shivaji Maharaj International Airport,CAM-004,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-018,MH02MM2345,2025-01-10T02:00:00+00:00,Mumbai Central Railway Station,CAM-005,OUTBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv
ANPR00007-019,MH02NN6789,2025-01-10T04:00:00+00:00,Byculla Jail Visiting Area,CAM-006,INBOUND,E-0007|CR-2001|evidence/CR-2001/CR-2001_ANPR_08.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
