sighting_id,registration,timestamp,location,camera_id,direction,record_nonce
ANPR00176-000,MH02DD6789,2025-04-26T16:00:00+00:00,Byculla Jail Visiting Area,CAM-006,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-001,MH02EE0123,2025-04-26T18:00:00+00:00,"Axis Bank Branch, Fort Area",CAM-007,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-002,MH02FF4567,2025-04-26T20:00:00+00:00,"HDFC Bank, Colaba Causeway",CAM-008,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-003,MH02GG8901,2025-04-26T22:00:00+00:00,"ICICI Bank, Andheri Lokhandwala",CAM-009,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-004,MH02HH2345,2025-04-27T00:00:00+00:00,"SBI Main Branch, Ballard Estate",CAM-000,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-005,MH02II6789,2025-04-27T02:00:00+00:00,"Yes Bank, BKC Branch",CAM-001,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-006,MH02JJ0123,2025-04-27T04:00:00+00:00,"Kotak Mahindra, Lower Parel",CAM-002,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-007,MH02KK4567,2025-04-27T06:00:00+00:00,"Casino Paradise, Majestic Hotel",CAM-003,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-008,MH02LL8901,2025-04-27T08:00:00+00:00,"Garage Complex, Sewri",CAM-004,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-009,MH02MM2345,2025-04-27T10:00:00+00:00,"A-24, Antop Hill Slum Redevelopment",CAM-005,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-010,MH02NN6789,2025-04-27T12:00:00+00:00,"Film City, Goregaon East",CAM-006,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-011,MH02OO0123,2025-04-27T14:00:00+00:00,"Backbay Reclamation, Nariman Point",CAM-007,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-012,MH02PP4567,2025-04-27T16:00:00+00:00,"Cuffe Parade, Tower 4",CAM-008,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-013,MH02QQ8901,2025-04-27T18:00:00+00:00,"Pali Hill, Bandra West",CAM-009,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-014,MH02RR2345,2025-04-27T20:00:00+00:00,Versova Jetty,CAM-000,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-015,MH02SS6789,2025-04-27T22:00:00+00:00,"Dockyard Road, Yellow Gate",CAM-001,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-016,MH02TT0123,2025-04-28T00:00:00+00:00,St. Xavier's College Campus,CAM-002,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-017,MH02UU4567,2025-04-28T02:00:00+00:00,Bandra Reclamation Promenade,CAM-003,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-018,MH02VV8901,2025-04-28T04:00:00+00:00,Mahalaxmi Race Course,CAM-004,INBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv
ANPR00176-019,MH02WW2345,2025-04-28T06:00:00+00:00,"BMC Ward Office, H West",CAM-005,OUTBOUND,E-0176|CR-2015|evidence/CR-2015/CR-2015_ANPR_09.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
