clip_id,camera_location,timestamp_start,timestamp_end,persons_observed,vehicle_reg,record_nonce
CCTV0044-000,"Customs Warehouse, JNPT",2025-01-31T11:12:00+00:00,2025-01-31T11:14:00+00:00,10,MH02OP0123,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-001,"12, Sector 17, Navi Mumbai",2025-01-31T11:30:00+00:00,2025-01-31T11:32:00+00:00,10,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-002,"B-44, Andheri West, Mumbai",2025-01-31T11:48:00+00:00,2025-01-31T11:50:00+00:00,10,MH02ST8901,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-003,"Flat 301, Bandra Kurla Complex",2025-01-31T12:06:00+00:00,2025-01-31T12:08:00+00:00,10,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-004,"Warehouse No. 7, Wadala Truck Terminal",2025-01-31T12:24:00+00:00,2025-01-31T12:26:00+00:00,10,MH02WX6789,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-005,"Royal Palms, Goregaon East",2025-01-31T12:42:00+00:00,2025-01-31T12:44:00+00:00,unknown,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-006,"C-15, Dadar West",2025-01-31T13:00:00+00:00,2025-01-31T13:02:00+00:00,unknown,MH02AA4567,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-007,"Shop No. 22, Crawford Market",2025-01-31T13:18:00+00:00,2025-01-31T13:20:00+00:00,unknown,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-008,"Hotel Sea View, Juhu Tara Road",2025-01-31T13:36:00+00:00,2025-01-31T13:38:00+00:00,unknown,MH02CC2345,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-009,"Parking Lot B, Chhatrapati Shivaji Terminus",2025-01-31T13:54:00+00:00,2025-01-31T13:56:00+00:00,unknown,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-010,"A/5, MIDC Andheri",2025-01-31T14:12:00+00:00,2025-01-31T14:14:00+00:00,unknown,MH02EE0123,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-011,"B-102, Powai Lake View Apartments",2025-01-31T14:30:00+00:00,2025-01-31T14:32:00+00:00,unknown,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-012,"Linking Road, Bandra West",2025-01-31T14:48:00+00:00,2025-01-31T14:50:00+00:00,unknown,MH02GG8901,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-013,"Metro Junction Mall, Kalyan",2025-01-31T15:06:00+00:00,2025-01-31T15:08:00+00:00,unknown,,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv
CCTV0044-014,"A-7, Saki Naka, Andheri East",2025-01-31T15:24:00+00:00,2025-01-31T15:26:00+00:00,unknown,MH02II6789,E-0044|CR-2004|evidence/CR-2004/CR-2004_CCTV_09.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
